,id,title,popularity,release_date
123,476292,Maquia: When the Promised Flower Blooms,20.046,2018-02-24
124,361743,Top Gun: Maverick,194.557,2022-05-21
125,313106,Doctor Who: The Day of the Doctor,10.772,2013-11-23
126,185,A Clockwork Orange,41.135,1971-12-19
127,5156,Bicycle Thieves,17.644,1948-07-21
128,490,The Seventh Seal,21.636,1957-02-16
129,620683,My Mom Is a Character 3,5.553,2019-12-26
130,68718,Django Unchained,59.593,2012-12-25
131,77,Memento,48.534,2000-10-11
132,610892,Violet Evergarden: Eternity and the Auto Memory Doll,15.777,2019-09-06
133,629,The Usual Suspects,51.044,1995-07-19
134,26451,Investigation of a Citizen Above Suspicion,9.187,1970-10-16
135,18148,Tokyo Story,15.235,1953-11-03
136,556574,Hamilton,18.862,2020-07-03
137,10098,The Kid,16.779,1921-01-21
138,797,Persona,20.383,1966-10-18
139,592350,My Hero Academia: Heroes Rising,26.35,2019-12-20
140,111,Scarface,81.402,1983-12-09
141,851644,20th Century Girl,91.838,2022-10-06
142,1422,The Departed,61.678,2006-10-04
143,426,Vertigo,31.415,1958-05-28
144,489,Good Will Hunting,60.811,1997-12-05
145,20941,Innocent Voices,16.144,2005-01-28
146,348,Alien,103.93,1979-05-25
147,795607,Green Snake,15.027,2021-07-23
148,289,Casablanca,30.423,1943-01-15
149,517814,Capernaum,17.92,2018-09-20
150,810693,Jujutsu Kaisen 0,56.102,2021-12-24
151,693134,Dune: Part Two,160.366,2024-02-27
152,399106,Piper,15.329,2016-06-16
153,606856,Togo,22.176,2019-12-20
154,537061,Steven Universe: The Movie,16.222,2019-10-07
155,37165,The Truman Show,65.761,1998-06-04
156,872,Singin' in the Rain,28.332,1952-04-09
157,133919,Scenes from a Marriage,7.683,1974-09-15
158,1026227,There's Still Tomorrow,17.832,2023-10-26
159,475557,Joker,85.91,2019-10-01
160,103,Taxi Driver,62.466,1976-02-09
161,81481,Silenced,26.448,2011-09-22
162,20914,My Friends,10.486,1975-10-24
163,1398,Stalker,24.742,1979-05-25
164,20334,The Shop Around the Corner,17.489,1940-01-12
165,422,8½,16.774,1963-02-14
166,9702,Bound by Honor,35.872,1993-02-05
167,791373,Zack Snyder's Justice League,67.501,2021-03-18
168,614,Wild Strawberries,13.0,1957-08-28
169,600,Full Metal Jacket,68.348,1987-06-26
170,406997,Wonder,40.182,2017-11-13
171,666,Central Station,15.277,1998-04-03
172,398818,Call Me by Your Name,68.219,2017-07-28
173,458220,Palmer,31.63,2021-01-28
174,500,Reservoir Dogs,44.559,1992-09-02
175,600354,The Father,19.896,2020-12-23
176,508442,Soul,54.337,2020-12-25
177,55823,The Great War,9.532,1959-10-28
178,280,Terminator 2: Judgment Day,67.382,1991-07-03
179,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,22.565,1964-01-29
180,100,"Lock, Stock and Two Smoking Barrels",29.864,1998-08-28
181,470044,The Hate U Give,19.973,2018-10-19
182,996,Double Indemnity,14.42,1944-07-06
183,531428,Portrait of a Lady on Fire,38.99,2019-09-18
184,575813,Better Days,28.305,2019-10-25
185,19,Metropolis,28.269,1927-02-06
186,3780,Red Beard,9.199,1965-04-03
187,843,In the Mood for Love,30.885,2000-09-29
188,762975,Purple Hearts,47.479,2022-07-29
189,1084736,The Count of Monte Cristo,245.965,2024-06-28
190,411088,The Invisible Guest,42.69,2017-01-06
191,38288,"“The Shorts” by Aldo, Giovanni and Giacomo",4.429,1996-03-29
192,664767,Mortal Kombat Legends: Scorpion's Revenge,33.517,2020-04-12
193,518068,Along with the Gods: The Last 49 Days,24.972,2018-08-01
194,46738,Incendies,39.104,2010-09-17
195,24382,Big Deal on Madonna Street,10.547,1958-07-26
196,146233,Prisoners,61.773,2013-09-19
197,20532,Sansho the Bailiff,10.666,1954-03-31
198,11659,The Best of Youth,8.326,2003-06-22
199,655,"Paris, Texas",27.046,1984-07-16
200,11878,Yojimbo,16.83,1961-04-25
201,239,Some Like It Hot,28.318,1959-03-19
202,10681,WALL·E,70.869,2008-06-22
203,38,Eternal Sunshine of the Spotless Mind,70.617,2004-03-19
204,755812,"Miraculous World: New York, United HeroeZ",28.834,2020-09-25
205,103663,The Hunt,34.925,2012-06-13
206,705,All About Eve,13.626,1950-11-09
207,149871,The Tale of The Princess Kaguya,18.08,2013-11-23
208,12445,Harry Potter and the Deathly Hallows: Part 2,104.665,2011-07-12
209,387,Das Boot,25.596,1981-09-17
210,406,La Haine,28.385,1995-05-31
211,698687,Transformers One,288.977,2024-08-14
212,2457,Children of Paradise,10.898,1945-03-15
213,21634,Prayers for Bobby,15.41,2009-01-24
214,832,M,16.839,1931-05-11
215,439,La Dolce Vita,15.085,1960-02-05
216,831827,Far from the Tree,11.655,2021-11-24
217,7345,There Will Be Blood,36.075,2007-12-26
218,532067,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,23.493,2019-08-30
219,550776,Believe Me: The Abduction of Lisa McVey,34.507,2018-09-30
220,872585,Oppenheimer,121.319,2023-07-19
221,555604,Guillermo del Toro's Pinocchio,32.268,2022-11-09
222,397567,Along with the Gods: The Two Worlds,33.029,2017-12-20
223,548,Rashomon,16.085,1950-08-26
224,663558,New Gods: Nezha Reborn,21.115,2021-02-06
225,437068,A Taxi Driver,15.756,2017-08-02
226,4348,Pride & Prejudice,69.558,2005-09-16
227,522518,A Dog's Journey,36.466,2019-05-03
